"ISBN","User-ID","Book-Rating","Book-Title","Book-Author","Year-Of-Publication"
"0000913154",171118,8,"The Way Things Work: An Illustrated Encyclopedia of Technology","C. van Amerongen (translator)",1967
"0001010565",86123,0,"Mog's Christmas","Judith Kerr",1992
"0001010565",209516,0,"Mog's Christmas","Judith Kerr",1992
"0001046438",23902,9,"Liar","Stephen Fry",0
"0001046713",196149,0,"Twopence to Cross the Mersey","Helen Forrester",1992
"000104687X",23902,6,"T.S. Eliot Reading \""""""""The Wasteland\"""""""" and Other Poems","T.S. Eliot",1993
"0001046934",206300,0,"The Prime of Miss Jean Brodie","Muriel Spark",1999
"0001047213",23902,9,"The Fighting Man","Gerald Seymour",1993
"0001047647",244994,0,"First Among Equals","Jeffrey Archer",2000
"0001047663",246671,0,"Matter Of Honour","Jeffrey Archer",2000
"0001047868",251613,0,"Kidnapped","Robert Louis Stevenson",1999
"0001047973",11944,9,"Brave New World","Aldous Huxley",1999
"0001047973",23902,9,"Brave New World","Aldous Huxley",1999
"000104799X",28204,7,"Monk's-hood","Ellis Peters",1994
"000104799X",166596,8,"Monk's-hood","Ellis Peters",1994
"0001048082",23902,8,"Made in America","Bill Bryson",1995
"0001048082",109901,8,"Made in America","Bill Bryson",1995
"0001048473",23902,0,"Nothing Can Be Better","Barns &amp; Budd",1996
"0001049879",53729,0,"Daughters of the Storm","Elizabeth Buchan",1996
"0001052039",76626,0,"Dark Spectre","Michael Dibdin",1997
"0001053736",189835,5,"Sir Gawain and the Green Knight","J. R. R. Tolkien",1999
"0001053744",189835,5,"Pearl and Sir Orfeo","J. R. R. Tolkien",1999
"0001055607",85526,8,"Cereus Blooms At Night","Shani Mootoo",0
"0001056107",93047,8,"Farmer Giles of Ham: And Other Stories","J. R. R. Tolkien",1999
"0001056107",95359,8,"Farmer Giles of Ham: And Other Stories","J. R. R. Tolkien",1999
"0001061127",131966,8,"CHESS FOR YOUNG BEGINNERS","William T. McLeod",1975
"000123207X",198711,0,"Paddington's Birthday Party","Michael Bond",1942
"0001232088",198711,0,"Paddington in the Kitchen","Michael Bond",1942
"0001360469",10067,10,"Babe Dressing","Mandy Stanley",1997
"0001372564",16319,0,"Which Colour?","Sue Dreamer",1989
"0001374362",266866,9,"When It's Time for Bed (Collins Baby &amp; Toddler S.)","Nick Butterworth",1994
"0001374869",10067,10,"Baby Plays (Collins Baby and Toddler Series)","Fiona Pragoff",1994
"0001382381",26583,0,"Huck Scarry's Steam Train Journey","Huck Scarry",1979
"0001382608",26583,0,"On the Road","Huck Scarry",1981
"000160418X",10067,7,"The Clue in the Crumbling Wall","Carolyn Keene",1984
"000160418X",224654,0,"The Clue in the Crumbling Wall","Carolyn Keene",1984
"0001711105",43962,0,"The Book of Riddles (Beginner Books)","Bennett Cerf",1983
"0001711253",156534,0,"The Big Honey Hunt","Stan Berenstein",1942
"000171421X",274301,0,"It's Not Easy Being a Bunny (A Beginner Book)","Marilyn Sadler",1984
"0001714236",274301,0,"Spooky Riddles","Mark Brown",1984
